driver,q1,q2,q3
Charles Leclerc,1:31.471,1:30.932,1:30.558
Max Verstappen,1:31.785,1:30.757,1:30.681
Carlos Sainz,1:31.567,1:30.787,1:30.687
Sergio Perez,1:32.311,1:31.008,1:30.921
Lewis Hamilton,1:32.285,1:31.048,1:31.238
Valtteri Bottas,1:31.919,1:31.717,1:31.560
Kevin Magnussen,1:31.955,1:31.461,1:31.808
Fernando Alonso,1:32.346,1:31.621,1:32.195
George Russell,1:32.269,1:31.252,1:32.216
Pierre Gasly,1:32.096,1:31.635,1:32.338
Esteban Ocon,1:32.041,1:31.782,NA
Mick Schumacher,1:32.380,1:31.998,NA
Lando Norris,1:32.239,1:32.008,NA
Alexander Albon,1:32.726,1:32.664,NA
Guanyu Zhou,1:32.493,1:33.543,NA
Yuki Tsunoda,1:32.750,NA,NA
Nico Hulkenberg,1:32.777,NA,NA
Daniel Ricciardo,1:32.945,NA,NA
Lance Stroll,1:33.032,NA,NA
Nicholas Latifi,1:33.634,NA,NA
Sergio Perez,1:29.705,1:28.924,1:28.200
Charles Leclerc,1:29.039,1:28.780,1:28.225
Carlos Sainz,1:28.855,1:28.6886,1:28.402
Max Verstappen,1:28.928,1:28.945,1:28.461
Esteban Ocon,1:30.093,1:29.584,1:29.068
George Russell,1:29.680,1:29.618,1:29.104
Fernando Alonso,1:29.978,1:29.295,1:29.147
Valtteri Bottas,1:29.683,1:29.404,1:29.183
Pierre Gasly,1:29.891,1:29.418,1:29.254
Kevin Magnussen,1:29.831,1:29.546,1:29.588
Lando Norris,1:29.957,1:29.651,NA
Daniel Ricciardo,1:30.009,1:29.773,NA
Guanyu Zhou,1:29.978,1:29.819,NA
Mick Schumacher,1:30.167,1:29.920,NA
Lance Stroll,1:30.256,1:31.009,NA
Lewis Hamilton,1:30.343,NA,NA
Alexander Albon,1:30.492,NA,NA
Nico Hulkenberg,1:30.543,NA,NA
Nicholas Latifi,1:31.817,NA,NA
Yuki Tsunoda,DNS,NA,NA
Charles Leclerc,1:18.881,1:18.606,1:17.868
Max Verstappen,1:18:580,1:18.611,1:18.154
Sergio Perez,1:18.834,1:18.340,1:18.240
Lando Norris,1:19.280,1:19.066,1:18.703
Lewis Hamilton,1:19.401,1:19.106,1:18.825
George Russell,1:19.405,1:19.076,1:18.933
Daniel Ricciardo,1:19.665,1:19.130,1:19.032
Esteban Ocon,1:19.605,1:19.136,1:19.061
Carlos Sainz,1:18.983,1:18.469,1:19.408
