driver,position,points,laps
Charles Leclerc,1,26.0,57
Carlos Sainz,2,18.0,57
Lewis Hamilton,3,15.0,57
George Russell,4,12.0,57
Kevin Magnussen,5,10.0,57
Valtteri Bottas,6,8.0,57
Esteban Ocon,7,6.0,57
Yuki Tsunoda,8,4.0,57
Fernando Alonso,9,2.0,57
Guanyu Zhou,10,1.0,57
Mick Schumacher,11,0.0,57
Lance Stroll,12,0.0,57
Alexander Albon,13,0.0,57
Daniel Ricciardo,14,0.0,57
Lando Norris,15,0.0,57
Nicholas Latifi,16,0.0,57
Nico Hulkenberg,17,0.0,57
Sergio Perez,18,0.0,56
Max Verstappen,19,0.0,54
Max Verstappen,1,25.0,50
Charles Leclerc,2,19.0,50
Carlos Sainz,3,15.0,50
Sergio Perez,4,12.0,50
George Russell,5,10.0,50
Esteban Ocon,6,8.0,50
Lando Norris,7,6.0,50
Pierre Gasly,8,4.0,50
Kevin Magnussen,9,2.0,50
Lewis Hamilton,10,1.0,50
Guanyu Zhou,11,0.0,50
Nico Hulkenberg,12,0.0,50
Lance Stroll,13,0.0,49
Alexander Albon,14,0.0,47
Charles Leclerc,1,26.0,58
Sergio Perez,2,18.0,58
George Russell,3,15.0,58
Lewis Hamilton,4,12.0,58
Lando Norris,5,10.0,58
Daniel Ricciardo,6,8.0,58
Esteban Ocon,7,6.0,58
Valtteri Bottas,8,4.0,58
Pierre Gasly,9,2.0,58
Alexander Albon,10,1.0,58
Guanyu Zhou,11,0.0,58
Lance Stroll,12,0.0,58
Mick Schumacher,13,0.0,57
Kevin Magnussen,14,0.0,57
Yuki Tsunoda,15,0.0,57
Fernando Alonso,17,0.0,57
Max Verstappen,1,26.0,63
Sergio Perez,2,18.0,63
Lando Norris,3,15.0,63
George Russell,4,12.0,63
Valtteri Bottas,5,10.0,63
Charles Leclerc,6,8.0,63
Yuki Tsunoda,7,6.0,63
Sebastian Vettel,8,4.0,63
Kevin Magnussen,9,2.0,63
Lance Stroll,10,1.0,62
Alexander Albon,11,0.0,62
Pierre Gasly,12,0.0,62
Lewis Hamilton,13,0.0,62
Esteban Ocon,14,0.0,62
Guanyu Zhou,15,0.0,62
Nicholas Latifi,16,0.0,62
Mick Schumacher,17,0.0,62
Daniel Ricciardo,18,0.0,62
Max Verstappen,1,26.0,57
Charles Leclerc,2,18.0,57
Carlos Sainz,3,15.0,57
Sergio Perez,4,12.0,57
George Russell,5,10.0,57
Lewis Hamilton,6,8.0,57
Valtteri Bottas,7,6.0,57
Esteban Ocon,8,4.0,57
Alexander Albon,9,2.0,57
Lance Stroll,10,1.0,57
Fernando Alonso,11,0.0,57
Yuki Tsunoda,12,0.0,57
Daniel Ricciardo,13,0.0,57
Nicholas Latifi,14,0.0,57
Mick Schumacher,15,0.0,57
Kevin Magnussen,16,0.0,56
Sebastian Vettel,17,0.0,54
Max Verstappen,1,25.0,66
Sergio Perez,2,19.0,66
George Russell,3,15.0,66
Carlos Sainz,4,12.0,66
Lewis Hamilton,5,10.0,66
Valtteri Bottas,6,8.0,66
Esteban Ocon,7,6.0,66
Lando Norris,8,4.0,66
Fernando Alonso,9,2.0,65
Yuki Tsunoda,10,1.0,65
Sebastian Vettel,11,0.0,65
Daniel Ricciardo,12,0.0,65
Pierre Gasly,13,0.0,65
Mick Schumacher,14,0.0,65
Lance Stroll,15,0.0,65
Nicholas Latifi,16,0.0,64
Kevin Magnussen,17,0.0,64
Alexander Albon,18,0.0,64
Sergio Perez,1,25.0,64
Carlos Sainz,2,18.0,64
Max Verstappen,3,15.0,64
Charles Leclerc,4,12.0,64
George Russell,5,10.0,64
Lando Norris,6,9.0,64
Fernando Alonso,7,6.0,64
Lewis Hamilton,8,4.0,64
Valtteri Bottas,9,2.0,64
Sebastian Vettel,10,1.0,64
Pierre Gasly,11,0.0,64
Esteban Ocon,12,0.0,64
Daniel Ricciardo,13,0.0,64
Lance Stroll,14,0.0,64
Nicholas Latifi,15,0.0,63
Guanyu Zhou,16,0.0,63
Yuki Tsunoda,17,0.0,63
Max Verstappen,1,25.0,51
Sergio Perez,2,19.0,51
George Russell,3,15.0,51
Lewis Hamilton,4,12.0,51
Pierre Gasly,5,10.0,51
Sebastian Vettel,6,8.0,51
Fernando Alonso,7,6.0,51
Daniel Ricciardo,8,4.0,51
Lando Norris,9,2.0,51
Esteban Ocon,10,1.0,51
Valtteri Bottas,11,0.0,50
Alexander Albon,12,0.0,50
Yuki Tsunoda,13,0.0,50
Mick Schumacher,14,0.0,50
Nicholas Latifi,15,0.0,50
Lance Stroll,16,0.0,46
Max Verstappen,1,25.0,70
Carlos Sainz,2,19.0,70
Lewis Hamilton,3,15.0,70
George Russell,4,12.0,70
Charles Leclerc,5,10.0,70
Esteban Ocon,6,8.0,70
Valtteri Bottas,7,6.0,70
Guanyu Zhou,8,4.0,70
Fernando Alonso,9,2.0,70
Lance Stroll,10,1.0,70
Daniel Ricciardo,11,0.0,70
Sebastian Vettel,12,0.0,70
Alexander Albon,13,0.0,70
Pierre Gasly,14,0.0,70
Lando Norris,15,0.0,70
Nicholas Latifi,16,0.0,70
Kevin Magnussen,17,0.0,70
Carlos Sainz,1,25.0,52
Sergio Perez,2,18.0,52
Lewis Hamilton,3,16.0,52
Charles Leclerc,4,12.0,52
Fernando Alonso,5,10.0,52
Lando Norris,6,8.0,52
Max Verstappen,7,6.0,52
Mick Schumacher,8,4.0,52
Sebastian Vettel,9,2.0,52
Kevin Magnussen,10,1.0,52
Lance Stroll,11,0.0,52
Nicholas Latifi,12,0.0,52
Daniel Ricciardo,13,0.0,52
Yuki Tsunoda,14,0.0,52
Charles Leclerc,1,25.0,71
Max Verstappen,2,19.0,71
Lewis Hamilton,3,15.0,71
George Russell,4,12.0,71
Esteban Ocon,5,10.0,71
Mick Schumacher,6,8.0,70
Lando Norris,7,6.0,70
Kevin Magnussen,8,4.0,70
Daniel Ricciardo,9,2.0,70
Fernando Alonso,10,1.0,70
Valtteri Bottas,11,0.0,70
Alexander Albon,12,0.0,70
Lance Stroll,13,0.0,70
Guanyu Zhou,14,0.0,70
Pierre Gasly,15,0.0,70
Yuki Tsunoda,16,0.0,70
Sebastian Vettel,17,0.0,70
Max Verstappen,1,25.0,53
Lewis Hamilton,2,18.0,53
George Russell,3,15.0,53
Sergio Perez,4,12.0,53
Carlos Sainz,5,11.0,53
Fernando Alonso,6,8.0,53
Lando Norris,7,6.0,53
Esteban Ocon,8,4.0,53
Daniel Ricciardo,9,2.0,53
Lance Stroll,10,1.0,53
Sebastian Vettel,11,0.0,53
Pierre Gasly,12,0.0,53
Alexander Albon,13,0.0,53
Valtteri Bottas,14,0.0,53
Mick Schumacher,15,0.0,53
Guanyu Zhou,16,0.0,47
Lewis Hamilton,2,19.0,70
George Russell,3,15.0,70
Carlos Sainz,4,12.0,70
Sergio Perez,5,10.0,70
Charles Leclerc,6,8.0,70
Fernando Alonso,8,4.0,69
Esteban Ocon,9,2.0,69
Sebastian Vettel,10,1.0,69
Lance Stroll,11,0.0,69
Pierre Gasly,12,0.0,69
Guanyu Zhou,13,0.0,69
Mick Schumacher,14,0.0,69
Daniel Ricciardo,15,0.0,69
Kevin Magnussen,16,0.0,69
Alexander Albon,17,0.0,69
Nicholas Latifi,18,0.0,69
Yuki Tsunoda,19,0.0,68
Valtteri Bottas,20,0.0,65
Max Verstappen,1,26.0,44
Sergio Perez,2,18.0,44
Carlos Sainz,3,15.0,44
George Russell,4,12.0,44
Fernando Alonso,5,10.0,44
Charles Leclerc,6,8.0,44
Esteban Ocon,7,6.0,44
Sebastian Vettel,8,4.0,44
Pierre Gasly,9,2.0,44
Alexander Albon,10,1.0,44
Lance Stroll,11,0.0,44
Lando Norris,12,0.0,44
Yuki Tsunoda,13,0.0,44
Guanyu Zhou,14,0.0,44
Daniel Ricciardo,15,0.0,44
Kevin Magnussen,16,0.0,43
Mick Schumacher,17,0.0,43
Nicholas Latifi,18,0.0,43
Max Verstappen,1,26.0,72
George Russell,2,18.0,72
Charles Leclerc,3,15.0,72
Lewis Hamilton,4,12.0,72
Sergio Perez,5,10.0,72
Fernando Alonso,6,8.0,72
Lando Norris,7,6.0,72
Carlos Sainz,8,4.0,72
Esteban Ocon,9,2.0,72
Lance Stroll,10,1.0,72
Pierre Gasly,11,0.0,72
Alexander Albon,12,0.0,72
Mick Schumacher,13,0.0,72
Sebastian Vettel,14,0.0,72
Kevin Magnussen,15,0.0,72
Guanyu Zhou,16,0.0,72
Daniel Ricciardo,17,0.0,72
Nicholas Latifi,18,0.0,71
Charles Leclerc,2,18.0,53
Carlos Sainz,4,12.0,53
Lewis Hamilton,5,10.0,53
Sergio Perez,6,9.0,53
Pierre Gasly,8,4.0,53
Nyck De Vries,9,2.0,53
Guanyu Zhou,10,1.0,53
Esteban Ocon,11,0.0,53
