Total_Performance,Driver_Podiums_Feature,Sprint_Points,Sprint_Laps,Driver,Race_Round,Actual_Podium_Position_Label,Predicted_Podium_Position_Label,Podium_Number
6315.5,191,0.0,21,Lewis Hamilton,1,Podium 1,Podium 1,1.0
6315.5,191,0.0,21,Lewis Hamilton,2,Podium 1,Podium 1,1.0
4318.0,122,0.0,21,Sebastian Vettel,4,Podium 2,Podium 2,2.0
3041.0,98,0.0,21,Fernando Alonso,4,Podium 3,Podium 3,3.0
3041.0,98,0.0,21,Fernando Alonso,6,Podium 3,Podium 3,3.0
4318.0,122,0.0,21,Sebastian Vettel,7,Podium 2,Podium 2,2.0
4318.0,122,0.0,21,Sebastian Vettel,9,Podium 2,Podium 2,2.0
3041.0,98,0.0,21,Fernando Alonso,10,Podium 3,Podium 3,3.0
6315.5,191,0.0,21,Lewis Hamilton,12,Podium 1,Podium 1,1.0
3041.0,98,0.0,21,Fernando Alonso,12,Podium 3,Podium 3,3.0
4318.0,122,0.0,21,Sebastian Vettel,18,Podium 2,Podium 2,2.0
3041.0,98,0.0,21,Fernando Alonso,18,Podium 3,Podium 3,3.0
6315.5,191,0.0,21,Lewis Hamilton,21,Podium 1,Podium 1,1.0
